"...1","placekey","region","sub_category","category_tags","visitor_home_cbg","count"
1106208,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010002003",4
1106209,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010006002",4
1106210,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010005021",4
1106211,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010019013",4
1106212,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010008003",4
1106213,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010023001",4
1106214,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010008001",4
1106215,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010020005",4
1106216,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010026003",4
1106217,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010007001",4
1106218,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360930208004",4
1106219,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360830410002",4
1106220,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010023002",4
1106221,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010020001",4
1106222,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010142011",4
1106223,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010004011",4
1106224,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010015003",4
1106225,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010005013",4
1106226,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010018015",4
1106227,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010002001",4
1106228,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010137031",4
1106229,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010140024",4
1106230,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010020004",4
1106231,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010017001",4
1106232,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360930202002",4
1106233,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010004032",4
1767744,"restaurant_87","SC","Limited-Service Restaurants","Chicken,Chicken Wings,Pizza,Snacks,Vegetarian Food","371650104002",4
1767745,"restaurant_87","SC","Limited-Service Restaurants","Chicken,Chicken Wings,Pizza,Snacks,Vegetarian Food","371559620021",4
1767746,"restaurant_87","SC","Limited-Service Restaurants","Chicken,Chicken Wings,Pizza,Snacks,Vegetarian Food","371650106004",4
